temperature,temp_excursion_magnitude,excursion_duration_min,humidity,delay_minutes,remaining_transit_min,cargo_sensitivity,route_risk,traffic_level,handling_events,refrigeration_condition,distance_km,cargo_type_encoded,spoilage_event
-19.36,0.0,0.0,68.1,46.5,211.7,3,0.188,3,0,1,324.3,0,1
4.81,0.81,20.0,44.0,173.4,26.2,2,0.351,2,0,2,346.6,3,1
2.59,0.0,0.0,77.2,10.8,134.2,2,0.339,3,0,2,295.1,3,1
4.29,0.0,0.0,66.7,48.8,29.3,3,0.159,3,0,1,88.0,2,1
4.73,0.0,0.0,67.8,2.1,171.4,3,0.714,2,0,2,170.4,2,1
5.56,0.0,0.0,86.6,72.8,225.6,2,0.333,1,0,1,498.0,4,1
-15.96,0.0,0.0,58.4,1.9,202.0,3,0.114,1,1,1,90.2,0,0
0.0,0.6,13.8,54.1,21.8,98.6,2,0.489,2,3,2,392.2,3,1
2.4,0.0,0.0,56.8,38.0,68.3,3,0.347,2,0,3,398.8,1,1
-14.74,0.26,3.6,62.1,10.4,42.2,3,0.524,2,0,1,576.1,0,0
3.97,0.0,0.0,63.6,48.2,211.6,3,0.486,3,3,1,593.1,2,1
1.46,0.0,0.0,52.5,50.0,33.2,2,0.251,3,1,1,569.8,4,1
3.61,0.0,0.0,34.7,32.9,156.5,2,0.368,1,1,1,347.7,3,0
3.66,0.0,0.0,56.6,85.7,97.6,2,0.262,1,3,1,73.0,3,1
-1.33,1.4,14.1,70.4,55.9,239.1,2,0.585,2,1,1,202.5,3,1
3.07,0.0,0.0,67.0,155.8,129.5,2,0.533,1,1,2,311.5,3,1
6.84,0.0,0.0,83.0,33.7,138.5,3,0.283,3,0,1,71.5,2,1
-16.56,0.0,0.0,94.3,13.1,221.5,3,0.37,3,3,1,70.4,0,1
6.58,0.0,0.0,76.4,2.8,233.2,2,0.514,2,1,2,228.2,4,1
1.49,0.31,27.4,85.7,16.5,146.3,3,0.571,2,0,2,263.0,2,1
5.83,0.0,0.0,76.5,16.0,194.1,3,0.058,3,1,1,369.5,2,0
4.24,0.0,0.0,90.6,90.0,157.8,3,0.565,3,0,1,563.1,1,1
-18.71,0.0,0.0,92.8,52.2,111.2,3,0.078,2,1,1,265.1,0,0
7.18,0.0,0.0,79.3,21.9,27.9,2,0.284,3,0,1,76.4,4,0
6.2,2.2,11.3,75.6,27.8,176.5,2,0.136,2,1,1,347.0,3,1
6.99,2.99,30.2,61.9,43.3,172.6,2,0.709,1,0,1,246.9,3,1
8.29,0.29,3.7,64.4,23.3,41.3,3,0.489,2,1,1,545.6,2,1
4.73,0.0,0.0,59.9,13.3,66.8,2,0.073,3,1,1,287.3,4,0
5.88,0.0,0.0,74.3,10.9,179.7,3,0.365,3,0,1,227.0,2,1
6.92,0.0,0.0,54.2,25.3,48.7,3,0.15,1,0,2,448.1,2,0
5.3,0.0,0.0,62.1,1.1,170.5,3,0.254,2,0,3,321.3,2,1
5.33,0.0,0.0,30.0,22.4,176.5,3,0.601,2,1,1,355.3,1,0
-15.44,0.0,0.0,90.8,12.1,94.5,3,0.153,3,3,1,133.6,0,1
4.85,0.0,0.0,61.7,14.3,73.1,3,0.517,2,0,1,256.4,2,1
3.18,0.0,0.0,71.8,66.7,98.9,2,0.268,1,1,1,75.5,4,1
-18.54,0.0,0.0,86.9,167.2,95.8,3,0.217,3,3,2,465.2,0,1
6.58,0.0,0.0,69.5,37.5,151.6,2,0.125,2,1,1,185.1,4,0
5.01,0.0,0.0,86.7,30.9,182.4,2,0.359,3,0,1,116.3,4,1
5.85,0.0,0.0,46.4,127.5,208.9,3,0.05,3,0,1,374.2,1,0
4.18,0.18,2.7,98.0,9.0,21.7,2,0.316,1,3,2,368.7,3,1
-18.44,0.0,0.0,81.3,35.9,178.5,3,0.084,3,0,2,223.7,0,1
4.39,0.39,9.0,68.1,0.3,85.7,2,0.495,2,0,2,579.3,3,1
3.45,0.0,0.0,86.4,22.4,203.7,2,0.184,3,1,1,399.5,3,1
1.91,0.05,0.0,47.5,132.0,32.0,3,0.175,1,0,1,559.5,1,1
-13.89,1.11,6.7,60.7,177.3,139.0,3,0.171,3,1,1,215.3,0,1
3.75,0.0,0.0,86.7,115.7,138.5,2,0.252,1,5,2,353.5,4,1
0.86,0.68,23.2,37.0,64.7,88.5,3,0.455,1,4,1,277.4,2,1
2.39,0.0,0.0,73.4,19.3,233.3,2,0.647,3,1,1,277.3,4,1
-0.05,0.63,11.8,73.0,86.6,39.1,2,0.177,1,3,1,76.3,3,1
2.63,0.0,0.0,94.5,48.9,45.7,2,0.089,1,2,1,170.8,3,1
1.82,0.0,0.0,41.3,27.7,160.0,2,0.251,3,4,1,528.1,3,1
